,Age,KM,Weight,HP,MetColor,CC,Doors,Price
0,23.0,46986,1165.0,90,1,2000.0,3,13500
1,23.0,72937,1165.0,90,1,2000.0,3,13750
2,24.0,41711,1165.0,90,1,2000.0,3,13950
3,26.0,48000,1165.0,90,0,2000.0,3,14950
4,30.0,38500,1170.0,90,0,2000.0,3,13750
5,32.0,61000,1170.0,90,0,2000.0,3,12950
6,27.0,94612,1245.0,90,1,2000.0,3,16900
7,30.0,75889,1245.0,90,1,2000.0,3,18600
8,27.0,19700,1185.0,192,0,1800.0,3,21500
9,23.0,71138,1105.0,69,0,1900.0,3,12950
10,25.0,31461,1185.0,192,0,1800.0,3,20950
11,22.0,43610,1185.0,192,0,1800.0,3,19950
12,25.0,32189,1185.0,192,0,1800.0,3,19600
13,31.0,23000,1185.0,192,1,1800.0,3,21500
14,32.0,34131,1185.0,192,1,1800.0,3,22500
15,28.0,18739,1185.0,192,0,1800.0,3,22000
16,30.0,34000,1185.0,192,1,1800.0,3,22750
17,24.0,21716,1105.0,110,1,1600.0,3,17950
18,24.0,25563,1065.0,110,0,1600.0,3,16750
19,30.0,64359,1105.0,110,1,1600.0,3,16950
20,30.0,67660,1105.0,110,1,1600.0,3,15950
21,29.0,43905,1170.0,110,0,1600.0,3,16950
22,28.0,56349,1120.0,110,1,1600.0,3,15950
23,28.0,32220,1120.0,110,1,1600.0,3,16950
24,29.0,25813,1120.0,110,1,1600.0,3,16250
25,25.0,28450,1120.0,110,1,1600.0,3,15950
26,27.0,34545,1120.0,110,1,1600.0,3,17495
27,29.0,41415,1120.0,110,1,1600.0,3,15750
28,28.0,44142,1120.0,110,0,1600.0,3,16950
29,30.0,11090,1120.0,110,1,1600.0,3,17950
30,29.0,9750,1100.0,97,1,1400.0,3,12950
31,22.0,35199,1100.0,97,1,1400.0,3,15750
32,27.0,29510,1100.0,97,1,1400.0,3,15950
33,26.0,32692,1100.0,97,1,1400.0,3,14950
34,22.0,41000,1100.0,97,1,1400.0,3,15500
35,26.0,43000,1100.0,97,0,1400.0,3,15750
36,25.0,25000,1100.0,97,0,1400.0,3,15950
37,23.0,10000,1100.0,97,1,1400.0,3,14950
38,61.0,25329,1100.0,97,1,1400.0,3,15750
39,27.0,27500,1100.0,97,0,1400.0,3,14750
40,22.0,49059,1100.0,97,0,1400.0,3,13950
41,27.0,44068,1100.0,97,1,1400.0,3,16750
42,22.0,46961,1100.0,97,0,1400.0,3,13950
43,27.0,110404,1255.0,90,0,2000.0,5,16950
44,22.0,100250,1255.0,90,0,2000.0,5,16950
45,23.0,84000,1270.0,90,0,2000.0,5,19000
46,27.0,79375,1255.0,90,1,2000.0,5,17950
47,22.0,75048,1110.0,97,1,1400.0,5,15800
48,22.0,72215,1255.0,90,1,2000.0,5,17950
49,31.0,64982,1195.0,192,1,1800.0,5,21950
50,22.0,62636,1255.0,90,1,2000.0,5,17950
51,30.0,57086,1110.0,97,1,1400.0,5,15750
52,26.0,56000,1180.0,110,1,1600.0,5,20500
53,27.0,49866,1195.0,192,1,1800.0,5,21950
54,25.0,49163,1165.0,110,0,1600.0,5,15500
55,32.0,45725,1075.0,110,1,1600.0,5,13250
56,28.0,43210,1110.0,97,0,1400.0,5,15250
57,26.0,43000,1110.0,97,0,1400.0,5,15250
58,23.0,39704,1180.0,110,1,1600.0,5,18950
59,30.0,38950,1130.0,110,1,1600.0,5,15999
60,22.0,37400,1110.0,97,1,1400.0,5,14950
61,27.0,37177,1130.0,110,0,1600.0,5,16500
62,31.0,36544,1130.0,110,1,1600.0,5,18750
63,30.0,33511,1130.0,110,1,1600.0,5,17950
64,27.0,32809,1110.0,97,1,1400.0,5,17950
65,26.0,32181,1075.0,110,1,1600.0,5,16950
66,28.0,30993,1130.0,110,1,1600.0,5,18950
67,22.0,30400,1110.0,97,1,1400.0,5,14950
68,22.0,30000,1275.0,110,1,2000.0,5,22250
69,25.0,29719,1110.0,97,1,1400.0,5,15950
70,28.0,29206,1110.0,97,1,1400.0,5,15950
71,32.0,29198,1060.0,97,1,1400.0,5,12995
72,28.0,28817,1130.0,110,1,1598.0,5,18950
73,61.0,28227,1110.0,97,1,1400.0,5,15750
74,28.0,28000,1130.0,110,0,1600.0,5,19950
75,23.0,28000,1115.0,110,1,1600.0,5,16950
76,31.0,25266,1130.0,110,1,1600.0,5,18750
77,27.0,23489,1115.0,110,0,1600.0,5,18450
